Date,Open,High,Low,Close,Adj Close,Volume
2019-07-08,49.340000,49.500000,48.384998,48.520000,47.721222,5936000
2019-07-09,48.299999,48.430000,47.500000,47.869999,47.081921,4967400
2019-07-10,48.340000,48.419998,47.520000,47.549999,46.767189,3507400
2019-07-11,47.730000,48.060001,47.180000,47.779999,46.993404,4202000
2019-07-12,48.459999,50.040001,48.080002,49.709999,48.891632,4328400
2019-07-15,49.770000,50.950001,49.660000,50.930000,50.091545,4923800
2019-07-16,50.950001,52.645000,50.950001,52.320000,51.458664,6011200
2019-07-17,52.160000,52.299999,51.230000,51.599998,50.750515,4417500
2019-07-18,51.549999,52.049999,51.279999,51.750000,50.898048,3620300
2019-07-19,51.770000,51.830002,51.500000,51.520000,50.671833,3221500
2019-07-22,51.504002,51.570000,50.599998,50.880001,50.042370,2814900
2019-07-23,51.000000,52.900002,50.950001,52.619999,51.753723,4387700
2019-07-24,52.500000,52.990002,52.040001,52.790001,51.920925,3516400
2019-07-25,51.639999,51.990002,50.299999,50.770000,49.934181,4254600
2019-07-26,50.270000,50.299999,48.919998,49.110001,48.301510,5066000
2019-07-29,48.520000,48.880001,47.980000,48.049999,47.258957,4219800
2019-07-30,47.779999,48.439999,47.779999,48.400002,47.603199,4194300
2019-07-31,48.490002,49.430000,47.950001,48.439999,47.642536,5188500
2019-08-01,48.150002,48.599998,46.779999,46.849998,46.078712,5803200
2019-08-02,46.689999,47.500000,45.369999,45.599998,44.849293,5346400
2019-08-05,45.060001,45.130001,44.070000,44.770000,44.032959,5147300
2019-08-06,45.110001,45.450001,43.735001,44.430000,43.698555,4702800
2019-08-07,44.099998,45.000000,43.910000,44.889999,44.150982,4490100
2019-08-08,45.196999,46.820000,45.189999,46.790001,46.019703,4573400
2019-08-09,46.419998,46.990002,46.099998,46.639999,45.872173,4468000
2019-08-12,46.389999,46.799999,45.520000,45.689999,44.937809,4491600
2019-08-13,45.779999,47.759998,45.580002,46.849998,46.078712,5407300
2019-08-14,45.799999,46.150002,44.000000,44.080002,43.354321,6178300
2019-08-15,44.340000,44.369999,42.959999,43.380001,42.665844,3494600
2019-08-16,43.290001,44.810001,42.770000,44.509998,43.777237,4586000
2019-08-19,45.360001,45.862999,45.150002,45.599998,44.849293,3615500
2019-08-20,45.250000,45.250000,43.070000,43.160000,42.449463,5972800
2019-08-21,43.849998,44.240002,43.240002,43.279999,42.567486,4397800
2019-08-22,43.320000,43.900002,42.020000,42.049999,41.357735,6072100
2019-08-23,42.000000,42.020000,40.439999,40.709999,40.039795,6696800
2019-08-26,41.270000,41.349998,40.610001,40.820000,40.147987,3402400
2019-08-27,41.189999,41.730000,40.918999,41.169998,40.492222,4152200
2019-08-28,41.150002,42.639999,40.759998,42.520000,41.820000,4539300
2019-08-29,42.330002,43.000000,42.209999,42.369999,42.369999,3292500
2019-08-30,42.830002,43.000000,42.270000,42.630001,42.630001,4099200
2019-09-03,42.139999,42.230000,41.150002,41.799999,41.799999,3343300
2019-09-04,42.590000,42.790001,41.849998,42.540001,42.540001,2651400
2019-09-05,43.150002,43.970001,43.090000,43.360001,43.360001,4041400
2019-09-06,43.540001,43.660000,42.660000,43.240002,43.240002,3217900
2019-09-09,43.529999,44.626999,43.259998,44.450001,44.450001,3848000
2019-09-10,45.099998,46.369999,44.779999,46.320000,46.320000,4704000
2019-09-11,46.520000,47.049999,45.580002,46.880001,46.880001,4445000
2019-09-12,47.070000,47.189999,45.570000,46.970001,46.970001,3649700
2019-09-13,47.639999,48.439999,47.250000,48.200001,48.200001,4027600
2019-09-16,48.689999,49.980000,48.279999,49.009998,49.009998,5040600
2019-09-17,48.669998,49.090000,47.610001,48.000000,48.000000,3741900
2019-09-18,47.900002,47.900002,47.020000,47.509998,47.509998,2588200
2019-09-19,48.119999,48.410000,47.490002,47.639999,47.639999,2418300
2019-09-20,47.470001,48.849998,47.070000,48.209999,48.209999,10570400
2019-09-23,47.389999,48.215000,47.119999,47.910000,47.910000,3599400
2019-09-24,47.779999,48.000000,45.950001,46.599998,46.599998,4515300
2019-09-25,46.549999,47.970001,46.130001,47.680000,47.680000,4396200
2019-09-26,47.509998,47.689999,46.933998,47.230000,47.230000,2994200
2019-09-27,47.400002,47.880001,47.009998,47.070000,47.070000,3722300
2019-09-30,47.259998,47.790001,47.110001,47.650002,47.650002,2512200
2019-10-01,47.939999,48.570000,45.900002,45.970001,45.970001,3838400
2019-10-02,44.669998,45.169998,44.360001,44.930000,44.930000,4759500
2019-10-03,44.849998,45.389999,44.369999,45.310001,45.310001,3422400
2019-10-04,45.180000,45.779999,45.009998,45.340000,45.340000,3512300
2019-10-07,45.080002,45.770000,44.764999,45.169998,45.169998,2977900
2019-10-08,44.750000,45.049999,43.830002,43.849998,43.849998,2985900
2019-10-09,44.389999,44.540001,44.000000,44.009998,44.009998,2844600
2019-10-10,44.330002,45.290001,44.020000,44.919998,44.919998,4325000
2019-10-11,45.750000,47.720001,45.502998,47.130001,47.130001,3675700
2019-10-14,46.720001,47.270000,46.240002,46.820000,46.820000,3196500
2019-10-15,46.820000,48.099998,46.529999,47.200001,47.200001,3216800
2019-10-16,47.490002,47.919998,47.009998,47.119999,47.119999,3626900
2019-10-17,47.439999,48.540001,47.139999,47.810001,47.810001,2724400
